DO NOT MODIFY! Scanner has some issues which are yet to be fixed. Changes will be overwritten.

name;games;email;url
SPIKECHUNSOFT;Danganronpa: Trigger Happy Havoc,Danganronpa 2: Goodbye Despair; ;https://store.steampowered.com/developer/SPIKECHUNSOFT?snr=1_5_9__2000
egosoft;X4: Foundations,X3: Terran Conflict,X Rebirth,X3: Reunion; ;https://store.steampowered.com/developer/egosoft?snr=1_5_9__2000
dinopoloclub;Mini Metro; ;https://store.steampowered.com/developer/dinopoloclub?snr=1_5_9__2000
Conor Petersen;5D Chess With Multiverse Time Travel; ;https://store.steampowered.com/search/?developer=Conor%20Petersen&snr=1_5_9__2000
Thunkspace, LLC;5D Chess With Multiverse Time Travel; ;https://store.steampowered.com/search/?developer=Thunkspace%2C%20LLC&snr=1_5_9__2000
Glitch Pitch;Idol Manager; ;https://store.steampowered.com/search/?developer=Glitch%20Pitch&snr=1_5_9__2000
mimimi;Desperados III,Shadow Tactics: Blades of the Shogun,The Last Tinker™: City of Colors; ;https://store.steampowered.com/developer/mimimi?snr=1_5_9__2000
LevelHead;Turing Complete; ;https://store.steampowered.com/search/?developer=LevelHead&snr=1_5_9__2000
The Game Kitchen;Blasphemous; ;https://store.steampowered.com/search/?developer=The%20Game%20Kitchen&snr=1_5_9__2000
Stumpy🐙Squid;Kingdom Two Crowns (Play the Norse Lands Demo); ;https://store.steampowered.com/search/?developer=Stumpy%F0%9F%90%99Squid&snr=1_5_9__2000
Fury Studios;Kingdom Two Crowns (Play the Norse Lands Demo); ;https://store.steampowered.com/search/?developer=Fury%20Studios&snr=1_5_9__2000
Feral Interactive (Mac/Linux);Warhammer 40,000: Dawn of War II: Retribution,Warhammer 40,000: Dawn of War II,Warhammer® 40,000: Dawn of War® II Chaos Rising,Warhammer 40,000: Dawn of War II: Retribution,Warhammer 40,000: Dawn of War II,Warhammer® 40,000: Dawn of War® II Chaos Rising,Warhammer 40,000: Dawn of War II: Retribution,Warhammer 40,000: Dawn of War II,Warhammer® 40,000: Dawn of War® II Chaos Rising,Warhammer 40,000: Dawn of War II: Retribution,Warhammer 40,000: Dawn of War II,Warhammer® 40,000: Dawn of War® II Chaos Rising; ;https://store.steampowered.com/search/?developer=Feral%20Interactive%20%28Mac%2FLinux%29&snr=1_5_9__2000
crackshell;Heroes of Hammerwatch,Hammerwatch; ;https://store.steampowered.com/developer/crackshell?snr=1_5_9__2000
boxelware;Avorion; ;https://store.steampowered.com/developer/boxelware?snr=1_5_9__2000
Dead Mage;Children of Morta; ;https://store.steampowered.com/search/?developer=Dead%20Mage&snr=1_5_9__2000
danielmullinsgames;The Hex,Pony Island; ;https://store.steampowered.com/developer/danielmullinsgames?snr=1_5_9__2000
leafygames;PULSAR: Lost Colony; ;https://store.steampowered.com/developer/leafygames?snr=1_5_9__2000
VectorStorm Pty Ltd;MMORPG Tycoon 2; ;https://store.steampowered.com/search/?developer=VectorStorm%20Pty%20Ltd&snr=1_5_9__2000
Galactic Cafe;The Stanley Parable; ;https://store.steampowered.com/search/?developer=Galactic%20Cafe&snr=1_5_9__2000
SmiteWorks;Fantasy Grounds Unity,Deadlands Noir - That Old Time Religion; ;https://store.steampowered.com/developer/SmiteWorks?snr=1_5_9__2000
Future Cat LLC;OneShot; ;https://store.steampowered.com/search/?developer=Future%20Cat%20LLC&snr=1_5_9__2000
proxy;Warhammer 40,000: Gladius - Relics of War,Warhammer 40,000: Gladius - Relics of War,Warhammer 40,000: Gladius - Relics of War,Warhammer 40,000: Gladius - Relics of War,Pandora: First Contact,ZEPHON; ;https://store.steampowered.com/developer/proxy?snr=1_5_9__2000
Beamdog;Neverwinter Nights: Enhanced Edition,Planescape: Torment: Enhanced Edition,Axis & Allies 1942 Online,Icewind Dale: Enhanced Edition; ;https://store.steampowered.com/developer/Beamdog?snr=1_5_9__2000
Indoor Astronaut;Unrailed!; ;https://store.steampowered.com/search/?developer=Indoor%20Astronaut&snr=1_5_9__2000
thebehemoth;BattleBlock Theater®; ;https://store.steampowered.com/developer/thebehemoth?snr=1_5_9__2000
https://store.steampowered.com/curator/34548323;Darkwood; ;https://store.steampowered.com/curator/34548323?snr=1_5_9__2000
Weather Factory;Cultist Simulator; ;https://store.steampowered.com/search/?developer=Weather%20Factory&snr=1_5_9__2000
Catobyte;Super Bunny Man; ;https://store.steampowered.com/search/?developer=Catobyte&snr=1_5_9__2000
iointeractive;HITMAN™; ;https://store.steampowered.com/developer/iointeractive?snr=1_5_9__2000
11bitstudios;This War of Mine,Anomaly 2,Anomaly: Warzone Earth,Anomaly Defenders,Anomaly Korea,Anomaly Warzone Earth Mobile Campaign; ;https://store.steampowered.com/developer/11bitstudios?snr=1_5_9__2000
LuGus Studios;Liftoff: FPV Drone Racing; ;https://store.steampowered.com/search/?developer=LuGus%20Studios&snr=1_5_9__2000
https://store.steampowered.com/curator/6914384;Into the Breach,FTL: Faster Than Light; ;https://store.steampowered.com/curator/6914384?snr=1_5_9__2000
LionShield;Kingdoms and Castles; ;https://store.steampowered.com/developer/LionShield?snr=1_5_9__2000
Freehold Games;Caves of Qud,Sproggiwood; ;https://store.steampowered.com/search/?developer=Freehold%20Games&snr=1_5_9__2000
frictionalgames;SOMA,Amnesia: Rebirth,Amnesia: The Dark Descent,Penumbra Overture,Penumbra: Black Plague Gold Edition,Penumbra: Requiem,; ;https://store.steampowered.com/developer/frictionalgames?snr=1_5_9__2000
PortableMoose;Sally Face - Episode One; ;https://store.steampowered.com/developer/PortableMoose?snr=1_5_9__2000
Infinite Fall;Night in the Woods; ;https://store.steampowered.com/search/?developer=Infinite%20Fall&snr=1_5_9__2000
kChamp Games;ShellShock Live,CropDuster Supreme; ;https://store.steampowered.com/search/?developer=kChamp%20Games&snr=1_5_9__2000
CDPR;The Witcher 2: Assassins of Kings Enhanced Edition; ;https://store.steampowered.com/developer/CDPR?snr=1_5_9__2000
doublefine;Psychonauts,Brutal Legend,Costume Quest 2,Grim Fandango Remastered,Day of the Tentacle Remastered,The Cave,Broken Age,Full Throttle Remastered,Costume Quest,Stacking,MASSIVE CHALICE,Hack 'n' Slash,Spacebase DF-9; ;https://store.steampowered.com/developer/doublefine?snr=1_5_9__2000
berzerk;Just Shapes & Beats; ;https://store.steampowered.com/developer/berzerk?snr=1_5_9__2000
goblinz_publishing;Legend of Keepers: Career of a Dungeon Manager,Sigma Theory: Global Cold War,Dungeon Rushers,Robothorium,Legend of Keepers: Prologue,Sandwalkers; ;https://store.steampowered.com/developer/goblinz_publishing?snr=1_5_9__2000
Digital Sun;Moonlighter; ;https://store.steampowered.com/search/?developer=Digital%20Sun&snr=1_5_9__2000
leagueofgeeks;Armello; ;https://store.steampowered.com/developer/leagueofgeeks?snr=1_5_9__2000
gamious;Turmoil,iO; ;https://store.steampowered.com/developer/gamious?snr=1_5_9__2000
Joey Drew Studios;Bendy and the Ink Machine; ;https://store.steampowered.com/search/?developer=Joey%20Drew%20Studios&snr=1_5_9__2000
